"FREQ","NarrowBPF","WideBPF","Notch"
537.0317964,-16.544,-0.408453,-0.098162
549.5408739,-16.1851,-0.374807,-0.10667
562.3413252,-15.8157,-0.343962,-0.116209
575.4399373,-15.4351,-0.315714,-0.12695
588.8436554,-15.0423,-0.289874,-0.139101
602.5595861,-14.6361,-0.266266,-0.152915
616.5950019,-14.2155,-0.244725,-0.168705
630.9573445,-13.7789,-0.225099,-0.186861
645.654229,-13.325,-0.207247,-0.207873
660.693448,-12.8519,-0.191039,-0.232365
676.0829754,-12.3577,-0.176356,-0.261137
691.8309709,-11.8403,-0.16309,-0.295231
707.9457844,-11.2971,-0.151139,-0.336023
724.4359601,-10.7252,-0.140415,-0.385356
741.3102413,-10.1216,-0.130835,-0.445744
758.577575,-9.48242,-0.122326,-0.520674
776.2471166,-8.8038,-0.114822,-0.615093
794.3282347,-8.08134,-0.108265,-0.736181
812.8305162,-7.31054,-0.102604,-0.894632
831.7637711,-6.48724,-0.097796,-1.10685
851.1380382,-5.6086,-0.0938024,-1.39883
870.96359,-4.67515,-0.0905928,-1.81334
891.2509381,-3.6948,-0.0881423,-2.42373
912.0108394,-2.69016,-0.0864324,-3.36224
933.2543008,-1.71053,-0.0854506,-4.88349
954.992586,-0.846112,-0.0851902,-7.53824
977.237221,-0.230494,-0.0856504,-12.926
1000,-0.00253709,-0.0868352,-59.3368
1023.292992,-0.225171,-0.0887536,-12.9996
1047.128548,-0.836856,-0.0914207,-7.56872
1071.519305,-1.69912,-0.0948584,-4.8988
1096.478196,-2.67799,-0.0990956,-3.37026
1122.018454,-3.68268,-0.104167,-2.42788
1148.153621,-4.66349,-0.110115,-1.81533
1174.897555,-5.59756,-0.116988,-1.39956
1202.264435,-6.47687,-0.12484,-1.10683
1230.268771,-7.30081,-0.133734,-0.894167
1258.925412,-8.07221,-0.143741,-0.73544
1288.249552,-8.79522,-0.154939,-0.614183
1318.256739,-9.47434,-0.167414,-0.519661
1348.962883,-10.1139,-0.181263,-0.444672
1380.384265,-10.718,-0.196591,-0.384253
1412.537545,-11.2902,-0.213514,-0.334906
1445.439771,-11.8337,-0.232157,-0.294112
1479.108388,-12.3514,-0.252657,-0.260024
1513.561248,-12.8459,-0.275162,-0.231263
1548.816619,-13.3192,-0.299832,-0.206785
1584.893192,-13.7733,-0.32684,-0.185788
1621.810097,-14.2101,-0.35637,-0.167649
1659.586907,-14.6309,-0.388621,-0.151877
1698.243652,-15.0372,-0.423803,-0.138081
1737.800829,-15.4302,-0.462142,-0.125948
1778.27941,-15.811,-0.503876,-0.115225
1819.700859,-16.1804,-0.549256,-0.105703
1862.087137,-16.5395,-0.598547,-0.0972135
1905.460718,-16.889,-0.652024,-0.0896137
1949.8446,-17.2295,-0.709978,-0.0827859
1995.262315,-17.5618,-0.772706,-0.0766309
2041.737945,-17.8864,-0.840518,-0.0710651
2089.296131,-18.2039,-0.913729,-0.0660174
2137.96209,-18.5147,-0.992663,-0.0614272
2187.761624,-18.8194,-1.07764,-0.0572425
2238.721139,-19.1182,-1.169,-0.0534185
2290.867653,-19.4116,-1.26706,-0.0499163
2344.228815,-19.6999,-1.37213,-0.0467023
2398.832919,-19.9835,-1.48454,-0.0437472
2454.708916,-20.2627,-1.60459,-0.0410252
2511.886432,-20.5376,-1.73255,-0.0385137
2570.395783,-20.8086,-1.86869,-0.0361928
2630.267992,-21.0759,-2.01327,-0.0340448
2691.534804,-21.3397,-2.16649,-0.0320542
2754.228703,-21.6002,-2.32854,-0.0302069
2818.382931,-21.8577,-2.49958,-0.0284907
2884.031503,-22.1122,-2.67973,-0.0268942
2951.209227,-22.364,-2.86907,-0.0254076
3019.95172,-22.6131,-3.06764,-0.0240218
3090.295433,-22.8599,-3.27545,-0.0227287
3162.27766,-23.1042,-3.49248,-0.0215209
3235.936569,-23.3464,-3.71863,-0.0203919
3311.311215,-23.5865,-3.95382,-0.0193355
3388.441561,-23.8247,-4.19788,-0.0183462
3467.368505,-24.0609,-4.45064,-0.017419
3548.133892,-24.2955,-4.7119,-0.0165494
3630.780548,-24.5283,-4.98141,-0.0157331
3715.352291,-24.7595,-5.25892,-0.0149664
3801.893963,-24.9893,-5.54414,-0.0142456
3890.45145,-25.2176,-5.83678,-0.0135676
3981.071706,-25.4445,-6.13652,-0.0129294
4073.802778,-25.6702,-6.44306,-0.0123282
4168.693835,-25.8946,-6.75606,-0.0117617
4265.795188,-26.1179,-7.07519,-0.0112274
4365.158322,-26.34,-7.40012,-0.0107233
4466.835922,-26.5612,-7.73054,-0.0102473
4570.881896,-26.7813,-8.06612,-0.00979774
4677.351413,-27.0004,-8.40655,-0.00937288
4786.300923,-27.2187,-8.75152,-0.00897118
4897.788194,-27.4361,-9.10075,-0.00859122
5011.872336,-27.6527,-9.45394,-0.00823168
5128.61384,-27.8685,-9.81083,-0.00789134
5248.074602,-28.0835,-10.1712,-0.00756904
5370.317964,-28.2979,-10.5347,-0.00726375
5495.408739,-28.5116,-10.9012,-0.00697448
5623.413252,-28.7246,-11.2704,-0.00670032
5754.399373,-28.937,-11.6422,-0.00644043
5888.436554,-29.1489,-12.0163,-0.006194
6025.595861,-29.3602,-12.3925,-0.00596031
6165.950019,-29.571,-12.7708,-0.00573867
6309.573445,-29.7812,-13.1509,-0.00552843
6456.54229,-29.991,-13.5327,-0.005329
6606.93448,-30.2003,-13.916,-0.00513982
6760.829754,-30.4092,-14.3008,-0.00496035
6918.309709,-30.6177,-14.6869,-0.00479011
7079.457844,-30.8258,-15.0742,-0.00462864
7244.359601,-31.0335,-15.4625,-0.0044755
7413.102413,-31.2408,-15.8519,-0.00433028
7585.77575,-31.4478,-16.2423,-0.00419262
7762.471166,-31.6544,-16.6335,-0.00406214
7943.282347,-31.8608,-17.0254,-0.00393852
8128.305162,-32.0668,-17.4181,-0.00382143
8317.637711,-32.2726,-17.8114,-0.00371059
8511.380382,-32.4781,-18.2053,-0.00360572
8709.6359,-32.6833,-18.5998,-0.00350654
8912.509381,-32.8882,-18.9947,-0.00341283
9120.108394,-33.093,-19.3902,-0.00332434
9332.543008,-33.2975,-19.786,-0.00324086
9549.92586,-33.5017,-20.1822,-0.0031622
9772.37221,-33.7058,-20.5788,-0.00308815
10000,-33.9097,-20.9756,-0.00301854
10232.92992,-34.1133,-21.3728,-0.00295321
10471.28548,-34.3168,-21.7703,-0.00289199
10715.19305,-34.5201,-22.1679,-0.00283474
10964.78196,-34.7233,-22.5659,-0.00278134
11220.18454,-34.9262,-22.964,-0.00273164
11481.53621,-35.129,-23.3623,-0.00268554
11748.97555,-35.3317,-23.7607,-0.00264292
12022.64435,-35.5342,-24.1594,-0.00260369
12302.68771,-35.7366,-24.5581,-0.00256775
12589.25412,-35.9388,-24.957,-0.00253502
12882.49552,-36.1409,-25.3561,-0.00250543
13182.56739,-36.3429,-25.7552,-0.00247889
13489.62883,-36.5448,-26.1545,-0.00245537
13803.84265,-36.7465,-26.5538,-0.00243478
14125.37545,-36.9482,-26.9532,-0.0024171
14454.39771,-37.1497,-27.3527,-0.00240227
14791.08388,-37.3511,-27.7523,-0.00239027
15135.61248,-37.5524,-28.1519,-0.00238105
15488.16619,-37.7537,-28.5516,-0.0023746
15848.93192,-37.9548,-28.9514,-0.00237091
16218.10097,-38.1558,-29.3512,-0.00236996
16595.86907,-38.3567,-29.7511,-0.00237174
16982.43652,-38.5576,-30.151,-0.00237627
17378.00829,-38.7583,-30.551,-0.00238354
17782.7941,-38.959,-30.951,-0.00239357
18197.00859,-39.1595,-31.3511,-0.00240638
18620.87137,-39.36,-31.7512,-0.00242199
19054.60718,-39.5604,-32.1513,-0.00244044
19498.446,-39.7607,-32.5515,-0.00246177
19952.62315,-39.961,-32.9517,-0.00248601
20417.37945,-40.1611,-33.3519,-0.00251323
20892.96131,-40.3612,-33.7522,-0.00254346
21379.6209,-40.5612,-34.1524,-0.00257679
21877.61624,-40.7611,-34.5528,-0.00261328
22387.21139,-40.9609,-34.9531,-0.002653
22908.67653,-41.1607,-35.3535,-0.00269604
23442.28815,-41.3604,-35.7538,-0.00274248
23988.32919,-41.5599,-36.1543,-0.00279244
24547.08916,-41.7594,-36.5547,-0.00284601
25118.86432,-41.9588,-36.9551,-0.0029033
25703.95783,-42.1582,-37.3556,-0.00296444
26302.67992,-42.3574,-37.756,-0.00302955
26915.34804,-42.5566,-38.1565,-0.00309878
27542.28703,-42.7556,-38.557,-0.00317227
28183.82931,-42.9546,-38.9575,-0.00325017
28840.31503,-43.1535,-39.358,-0.00333265
29512.09227,-43.3522,-39.7584,-0.00341989
30199.5172,-43.5509,-40.1589,-0.00351206
30902.95433,-43.7495,-40.5593,-0.00360937
31622.7766,-43.9479,-40.9597,-0.00371202
32359.36569,-44.1463,-41.3601,-0.00382022
33113.11215,-44.3445,-41.7604,-0.00393421
33884.41561,-44.5427,-42.1607,-0.00405423
34673.68505,-44.7407,-42.5608,-0.00418052
35481.33892,-44.9385,-42.9609,-0.00431337
36307.80548,-45.1363,-43.3609,-0.00445304
37153.52291,-45.3339,-43.7607,-0.00459984
38018.93963,-45.5314,-44.1603,-0.00475407
38904.5145,-45.7287,-44.5597,-0.00491606
39810.71706,-45.9259,-44.9589,-0.00508616
40738.02778,-46.123,-45.3578,-0.00526472
41686.93835,-46.3198,-45.7563,-0.00545212
42657.95188,-46.5165,-46.1545,-0.00564876
43651.58322,-46.7131,-46.5522,-0.00585506
44668.35922,-46.9094,-46.9494,-0.00607144
45708.81896,-47.1056,-47.3459,-0.00629837
46773.51413,-47.3016,-47.7417,-0.00653632
47863.00923,-47.4973,-48.1366,-0.00678581
48977.88194,-47.6929,-48.5306,-0.00704735
50118.72336,-47.8882,-48.9234,-0.0073215
51286.1384,-48.0833,-49.315,-0.00760884
52480.74602,-48.2782,-49.705,-0.00790997
53703.17964,-48.4728,-50.0933,-0.00822553
54954.08739,-48.6671,-50.4795,-0.00855619
56234.13252,-48.8612,-50.8635,-0.00890264
57543.99373,-49.0549,-51.2449,-0.00926562
58884.36554,-49.2484,-51.6233,-0.00964589
60255.95861,-49.4416,-51.9982,-0.0100443
61659.50019,-49.6344,-52.3692,-0.0104615
63095.73445,-49.8269,-52.7358,-0.0108987
64565.4229,-50.019,-53.0974,-0.0113565
66069.3448,-50.2108,-53.4533,-0.011836
67608.29754,-50.4022,-53.8028,-0.0123383
69183.09709,-50.5932,-54.145,-0.0128643
70794.57844,-50.7837,-54.4792,-0.0134152
72443.59601,-50.9738,-54.8044,-0.0139921
74131.02413,-51.1635,-55.1196,-0.0145962
75857.7575,-51.3527,-55.4238,-0.0152289
77624.71166,-51.5413,-55.7158,-0.0158914
79432.82347,-51.7295,-55.9945,-0.0165852
81283.05162,-51.9171,-56.2588,-0.0173116
83176.37711,-52.1041,-56.5075,-0.0180722
85113.80382,-52.2905,-56.7396,-0.0188687
87096.359,-52.4764,-56.9539,-0.0197026
89125.09381,-52.6615,-57.1496,-0.0205758
91201.08394,-52.846,-57.3258,-0.02149
93325.43008,-53.0298,-57.4818,-0.0224472
95499.2586,-53.2128,-57.6171,-0.0234493
97723.7221,-53.3951,-57.7313,-0.0244985
100000,-53.5766,-57.8244,-0.025597
