"TIME","WideBPF","Vin"
0.002816594314,-4.28359,-4.41215
0.002851730855,-4.68899,-4.80479
0.002886867395,-4.88764,-4.98743
0.002922003936,-4.87102,-4.9521
0.002957140476,-4.63999,-4.70035
0.002992277017,-4.20479,-4.24316
0.003027413558,-3.58458,-3.60053
0.003062550098,-2.8066,-2.80053
0.003097686639,-1.90496,-1.87814
0.003132823179,-0.919195,-0.873671
0.00316795972,0.107507,0.168986
0.003203096261,1.13017,1.20426
0.003238232801,2.10399,2.1869
0.003273369342,2.98633,3.07396
0.003308505882,3.73852,3.82668
0.003343642423,4.32761,4.41215
0.003378778964,4.72778,4.80479
0.003413915504,4.92147,4.98743
0.003449052045,4.90014,4.9521
0.003484188585,4.66466,4.70035
0.003519325126,4.22526,4.24316
0.003554461667,3.6011,3.60053
0.003589598207,2.8194,2.80053
0.003624734748,1.91429,1.87814
0.003659871288,0.925278,0.873671
0.003695007829,-0.104448,-0.168986
0.00373014437,-1.12992,-1.20426
0.00376528091,-2.10634,-2.1869
0.003800417451,-2.99108,-3.07396
0.003835553991,-3.74548,-3.82668
0.003870690532,-4.33659,-4.41215
0.003905827073,-4.73861,-4.80479
0.003940963613,-4.93397,-4.98743
0.003976100154,-4.91416,-4.9521
0.004011236694,-4.68004,-4.70035
0.004046373235,-4.24187,-4.24316
0.004081509775,-3.6188,-3.60053
0.004116646316,-2.83806,-2.80053
0.004151782857,-1.93378,-1.87814
0.004186919397,-0.945489,-0.873671
0.004222055938,0.0836235,0.168986
0.004257192478,1.10858,1.20426
0.004292329019,2.08458,2.1869
0.00432746556,2.96899,3.07396
0.0043626021,3.72313,3.82668
0.004397738641,4.31407,4.41215
0.004432875181,4.71598,4.80479
0.004468011722,4.9113,4.98743
0.004503148263,4.89149,4.9521
0.004538284803,4.65744,4.70035
0.004573421344,4.21937,4.24316
0.004608557884,3.59645,3.60053
0.004643694425,2.8159,2.80053
0.004678830966,1.91184,1.87814
0.004713967506,0.923803,0.873671
0.004749104047,-0.10503,-0.168986
0.004784240587,-1.12968,-1.20426
0.004819377128,-2.10537,-2.1869
0.004854513669,-2.98943,-3.07396
0.004889650209,-3.74323,-3.82668
0.00492478675,-4.3338,-4.41215
0.00495992329,-4.73534,-4.80479
0.004995059831,-4.93028,-4.98743
0.005030196372,-4.91009,-4.9521
0.005065332912,-4.67565,-4.70035
0.005100469453,-4.23721,-4.24316
0.005135605993,-3.6139,-3.60053
0.005170742534,-2.83297,-2.80053
0.005205879075,-1.92855,-1.87814
