TIME,Bessel_2,butter_2,Cheby_2,Vin
0.0007917630922,0.0176953,0.00500592,-0.00999691,-2.47372
0.0007950964255,0.00167874,-0.004931,-0.016175,-1.51625
0.0007984297588,-0.0146395,-0.0152118,-0.0226105,-0.492506
0.0008017630922,-0.0305488,-0.0253943,-0.0290755,0.55276
0.0008050964255,-0.0453567,-0.03504,-0.0353401,1.57387
0.0008084297588,-0.0584182,-0.0437337,-0.0411823,2.52619
0.0008117630922,-0.069165,-0.0511016,-0.0463978,3.3681
0.0008150964255,-0.0771295,-0.0568271,-0.0508089,4.06282
0.0008184297588,-0.0819658,-0.0606654,-0.0542722,4.57996
0.0008217630922,-0.0834645,-0.0624538,-0.056685,4.89695
0.0008250964255,-0.081562,-0.0621187,-0.0579896,4.99991
0.0008284297588,-0.0763432,-0.0596793,-0.058176,4.88435
0.0008317630922,-0.0680378,-0.0552462,-0.0572823,4.55532
0.0008350964255,-0.0570105,-0.0490171,-0.0553928,4.02721
0.0008384297588,-0.0437447,-0.0412675,-0.0526348,3.32308
0.0008417630922,-0.0288215,-0.0323396,-0.0491725,2.47372
0.0008450964255,-0.0128945,-0.0226264,-0.0452002,1.51625
0.0008484297588,0.003339,-0.0125552,-0.0409336,0.492506
0.0008517630922,0.0191684,-0.00256864,-0.0366006,-0.55276
0.0008550964255,0.0339008,0.0068947,-0.0324309,-1.57387
0.0008584297588,0.0468913,0.0154192,-0.0286465,-2.52619
0.0008617630922,0.0575713,0.0226306,-0.0254518,-3.3681
0.0008650964255,0.0654732,0.0282123,-0.0230243,-4.06282
0.0008684297588,0.0702508,0.031919,-0.0215075,-4.57996
0.0008717630922,0.0716946,0.0335877,-0.021004,-4.89695
0.0008750964255,0.0697409,0.0331446,-0.0215715,-4.99991
0.0008784297588,0.0644744,0.0306084,-0.0232201,-4.88435
0.0008817630922,0.0561249,0.0260897,-0.0259116,-4.55532
0.0008850964255,0.0450566,0.0197856,-0.0295618,-4.02721
0.0008884297588,0.0317531,0.0119717,-0.0340434,-3.32308
0.0008917630922,0.0167953,0.00298954,-0.0391922,-2.47372
0.0008950964255,0.000836622,-0.0067679,-0.044814,-1.51625
0.0008984297588,-0.0154257,-0.0168737,-0.0506932,-0.492506
0.0009017630922,-0.0312812,-0.0268855,-0.0566019,0.55276
0.0009050964255,-0.046037,-0.0363649,-0.0623103,1.57387
0.0009084297588,-0.0590485,-0.0448966,-0.0675967,2.52619
0.0009117630922,-0.0697469,-0.0521066,-0.0722568,3.3681
0.0009150964255,-0.0776649,-0.0576785,-0.076113,4.06282
0.0009184297588,-0.0824564,-0.0613672,-0.0790221,4.57996
0.0009217630922,-0.083912,-0.0630101,-0.0808815,4.89695
0.0009250964255,-0.081968,-0.0625336,-0.0816335,4.99991
0.0009284297588,-0.0767092,-0.0599566,-0.0812684,4.88435
0.0009317630922,-0.0683655,-0.0553899,-0.0798242,4.55532
0.0009350964255,-0.0573014,-0.0490309,-0.0773855,4.02721
0.0009384297588,-0.0440001,-0.0411554,-0.0740797,3.32308
0.0009417630922,-0.029043,-0.0321051,-0.0700709,2.47372
0.0009450964255,-0.0130833,-0.0222733,-0.0655538,1.51625
0.0009484297588,0.00318144,-0.0120871,-0.060744,0.492506
0.0009517630922,0.0190408,-0.00198902,-0.0558695,-0.55276
0.0009550964255,0.0338019,0.00758229,-0.0511602,-1.57387
0.0009584297588,0.04682,0.0162113,-0.0468383,-2.52619
0.0009617630922,0.0575263,0.0235239,-0.0431079,-3.3681
0.0009650964255,0.0654533,0.0292034,-0.0401471,-4.06282
0.0009684297588,0.0702549,0.0330046,-0.0380991,-4.57996
0.0009717630922,0.0717217,0.0347646,-0.0370668,-4.89695
0.0009750964255,0.0697899,0.0344096,-0.037108,-4.99991
0.0009784297588,0.0645443,0.0319585,-0.0382328,-4.88435
0.0009817630922,0.0562146,0.0275217,-0.0404031,-4.55532
0.0009850964255,0.0451653,0.0212966,-0.0435348,-4.02721
0.0009884297588,0.0318798,0.0135586,-0.0475007,-3.32308
0.0009917630922,0.0169391,0.00464957,-0.0521368,-2.47372
0.0009950964255,0.000996681,-0.00503764,-0.0572487,-1.51625
0.0009984297588,-0.0152503,-0.015076,-0.062621,-0.492506
0.001001763092,-0.0310911,-0.0250231,-0.0680261,0.55276
0.001005096425,-0.0458332,-0.0344405,-0.0732341,1.57387
0.001008429759,-0.0588316,-0.0429128,-0.0780232,2.52619
0.001011763092,-0.0695178,-0.050066,-0.0821895,3.3681
